Table,Category,T22 Name,Name in Permit,DB Name,DB Units,Reg Limit,Reg Unit,Reg Type,Notes
NA,Constituents with NLs,,"1,2,4-Trimethylbenzene","1,2,4-Trimethylbenzene",ug/L,0.33,mg/L,NL,
NA,Constituents with NLs,,"1,3,5-Trimethylbenzene","1,3,5-Trimethylbenzene",ug/L,0.33,mg/L,NL,
NA,Constituents with NLs,,"2,4,6-Trinitrotoluene (TNT)","2,4,6-Trinitrotoluene (TNT)",ug/L,0.001,mg/L,NL,
NA,Constituents with NLs,,Vanadium,Vanadium,ug/L,0.05,mg/L,NL,
"64444-B, 40 CFR - 131.38",PCBs,,PCB 1016 Aroclor,PCB 1016 Aroclor,ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.39",PCBs,,PCB 1221 Aroclor,PCB 1221 Aroclor,ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.40",PCBs,,PCB 1232 Aroclor,PCB 1232 Aroclor,ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.41",PCBs,,PCB 1242 Aroclor,PCB 1242 Aroclor,ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.42",PCBs,,PCB 1248 Aroclor,PCB 1248 Aroclor,ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.43",PCBs,,PCB 1254 Aroclor,PCB 1254 Aroclor,ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.44",PCBs,,PCB 1260 Aroclor,PCB 1260 Aroclor,ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.45",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.46",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,3',4,4',5,5'-Octachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.47",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,3',4,4',5,6-Octachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.48",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,3',4,4',5-Heptachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.49",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,3',4,4'-Hexachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.50",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,3',4,5',6'-Heptachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.51",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,3',4,5',6,6'-Octachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.52",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,3',4,5,6'-Heptachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.53",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,3',4,5,6,6'-Octachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.54",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,4',5',6-Hexachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.55",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,4',5'-Pentachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.56",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,4',5,5',6-Heptachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.57",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,4,4',5',6-Heptachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.58",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,4,4',5'-Hexachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.59",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,4,4',5,5',6-Octachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.60",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,4,4',5,5'-Heptachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.61",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,4,4',5-Hexachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.62",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,4,4',6,6'-Heptachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.63",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,4,5'-Pentachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.64",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,4,5,5'-Hexachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.65",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,5',6-Pentachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.66",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,5'-Tetrachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.67",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',3,5,5',6-Hexachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.68",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',4,4',5-Pentachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.69",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',4,5'-Tetrachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.70",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',4,5,5'-Pentachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.71",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',5,5'-Tetrachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.72",PCBs,,Polychlorinated Biphenyls (PCBs),"2,2',5-Trichlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.73",PCBs,,Polychlorinated Biphenyls (PCBs),"2,3',4',5-Tetrachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.74",PCBs,,Polychlorinated Biphenyls (PCBs),"2,3',4'-Trichlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.75",PCBs,,Polychlorinated Biphenyls (PCBs),"2,3',4,4',5',6-Hexachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.76",PCBs,,Polychlorinated Biphenyls (PCBs),"2,3',4,4',5'-Pentachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.77",PCBs,,Polychlorinated Biphenyls (PCBs),"2,3',4,4',5,5'-Hexachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.78",PCBs,,Polychlorinated Biphenyls (PCBs),"2,3',4,4',5-Pentachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.79",PCBs,,Polychlorinated Biphenyls (PCBs),"2,3',4,4',6-Pentachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.80",PCBs,,Polychlorinated Biphenyls (PCBs),"2,3',4,4'-Tetrachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.81",PCBs,,Polychlorinated Biphenyls (PCBs),"2,3',6-Trichlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.82",PCBs,,Polychlorinated Biphenyls (PCBs),"2,3,3',4',6-Pentachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.83",PCBs,,Polychlorinated Biphenyls (PCBs),"2,3,3',4'-Tetrachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.84",PCBs,,Polychlorinated Biphenyls (PCBs),"2,3,3',4,4',5'-Hexachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.85",PCBs,,Polychlorinated Biphenyls (PCBs),"2,3,3',4,4',5,5'-Heptachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.86",PCBs,,Polychlorinated Biphenyls (PCBs),"2,3,3',4,4',5-Hexachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.87",PCBs,,Polychlorinated Biphenyls (PCBs),"2,3,3',4,4'-Pentachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.88",PCBs,,Polychlorinated Biphenyls (PCBs),"2,3,4,4',5-Pentachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.89",PCBs,,Polychlorinated Biphenyls (PCBs),"2,3,4,4'-Tetrachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.90",PCBs,,Polychlorinated Biphenyls (PCBs),"2,4',5-Trichlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.91",PCBs,,Polychlorinated Biphenyls (PCBs),"2,4,4',5-Tetrachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.92",PCBs,,Polychlorinated Biphenyls (PCBs),"2,4,4'-Trichlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.93",PCBs,,Polychlorinated Biphenyls (PCBs),"2,4,5-Trichlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.94",PCBs,,Polychlorinated Biphenyls (PCBs),"3,3',4,4',5,5'-Hexachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.95",PCBs,,Polychlorinated Biphenyls (PCBs),"3,3',4,4',5-Pentachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.96",PCBs,,Polychlorinated Biphenyls (PCBs),"3,3',4,4'-Tetrachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.97",PCBs,,Polychlorinated Biphenyls (PCBs),"3,4,4',5-Tetrachlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.98",PCBs,,Polychlorinated Biphenyls (PCBs),"3,4,4'-Trichlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.99",PCBs,,Polychlorinated Biphenyls (PCBs),"4,4'-Dichlorobiphenyl",ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
"64444-B, 40 CFR - 131.100",PCBs,,Polychlorinated Biphenyls (PCBs),Decachlorobiphenyl,ug/L,0.0005,mg/L,MCL,sum limit of all PCBs 0.0005 mg/L
