Site,Constituent,c_nounits,STORET,Units,Date Range,Count,Methods,Nr. Non-Detects,Detection Rate,DateOfMax,Min,25th %ile,Mean,Median,75th %ile,Max,DL min,DL max,mann-kendall stats,trend,s,p,slope,intercept,Action,Notes
100832,Chlorate (ug/L),Chlorate,A-037,ug/L,2020-2022,16,['300' 'EPA 300.0'],0,100.0,2022-08-10,18.0,43.0,216.37499999999994,65.0,270.0,750.0,10.0,10.0,"Mann_Kendall_Test(trend='increasing', h=True, p=0.006025811357466715, z=2.746373530233564, Tau=0.5166666666666667, s=62.0, var_s=493.3333333333333, slope=32.0, intercept=-169.5)",increasing,62.0,0.006025811357466715,32.0,-169.5,TO REVIEW,Pending statistical analysis
100832,Chloride (mg/L),Chloride,940,mg/L,2013-2022,60,['300' 'EPA 300.0'],0,100.0,2016-10-12,17.0,65.0,95.76666666666665,110.0,120.0,150.0,0.5,10.0,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.007701210541787296, z=-2.66489613038965, Tau=-0.23502824858757063, s=-416.0, var_s=24251.333333333332, slope=-0.7327315541601256, intercept=131.61558084772372)",decreasing,-416.0,0.007701210541787296,-0.7327315541601256,131.61558084772372,TO REVIEW,Pending statistical analysis
100832,Chlorodibromomethane (ug/L),Chlorodibromomethane,32105,ug/L,2013-2022,60,['524.2' 'EPA 524.2' 'EPA 551.1'],53,11.666666666666671,2016-08-01,0.5,0.0,0.13320833333333312,0.0,0.0,1.9,0.5,1.0,"Mann_Kendall_Test(trend='no trend', h=False, p=0.46138528521483746, z=0.7365676970314537, Tau=0.03898305084745763, s=69.0, var_s=8523.0, slope=0.0, intercept=0.5)",no trend,69.0,0.46138528521483746,0.0,0.5,TO REVIEW,Pending statistical analysis
100832,Chloroform (Trichloromethane) (ug/L),Chloroform (Trichloromethane),32106,ug/L,2013-2022,60,['524.2' 'EPA 524.2' 'EPA 551.1'],7,88.33333333333333,2016-10-12,0.5,0.85,7.634999999999993,3.0,13.0,28.0,0.5,1.0,"Mann_Kendall_Test(trend='no trend', h=False, p=0.25036880964670427, z=1.1494540355189593, Tau=0.10225988700564972, s=181.0, var_s=24522.333333333332, slope=0.027511052166224584, intercept=2.2384239610963745)",no trend,181.0,0.25036880964670427,0.027511052166224584,2.2384239610963745,TO REVIEW,Pending statistical analysis
100832,Copper (ug/L),Copper,1042,ug/L,2013-2022,60,['200.8' 'EPA 200.8'],25,58.33333333333333,2021-12-15,2.0,0.0,2.6466666666666634,2.5,3.9,12.0,2.0,4.0,"Mann_Kendall_Test(trend='increasing', h=True, p=0.026753452384761234, z=2.21509634326174, Tau=0.18926553672316385, s=335.0, var_s=22735.666666666668, slope=0.006781609195402305, intercept=2.299942528735632)",increasing,335.0,0.026753452384761234,0.006781609195402305,2.299942528735632,TO REVIEW,Pending statistical analysis
100832,Field pH (Units),Field pH,400,Units,2013-2022,54,['EPA 150.1'],0,100.0,2016-04-18,6.6,6.8,6.938888888888888,6.87,7.01,7.72,0.0,0.1,"Mann_Kendall_Test(trend='no trend', h=False, p=0.21193472414211323, z=-1.2482630960071666, Tau=-0.11740041928721175, s=-168.0, var_s=17898.666666666668, slope=-0.001666666666666668, intercept=6.929166666666666)",no trend,-168.0,0.21193472414211323,-0.001666666666666668,6.929166666666666,TO REVIEW,Pending statistical analysis
100832,Fluoride (mg/L),Fluoride,951,mg/L,2013-2022,60,['SM 4500 F C' 'SM 4500F-C'],0,100.0,2020-12-15,0.22,0.29,0.3539999999999999,0.33,0.4,0.63,0.05,0.05,"Mann_Kendall_Test(trend='increasing', h=True, p=3.327284436860367e-07, z=5.103897553709399, Tau=0.4514124293785311, s=799.0, var_s=24445.666666666668, slope=0.0028571428571428576, intercept=0.24571428571428572)",increasing,799.0,3.327284436860367e-07,0.0028571428571428576,0.24571428571428572,TO REVIEW,Pending statistical analysis
100832,Gross Alpha (pCi/L),Gross Alpha,1501,pCi/L,2013-2022,60,['900' 'SM7110C' 'EPA 900.0' 'SM 7110C'],53,11.666666666666671,2017-04-06,0.229,0.0,0.8088635477582837,0.0,1.01,7.8,0.229,4.88,"Mann_Kendall_Test(trend='no trend', h=False, p=0.20154021166052782, z=1.277175734878891, Tau=0.08418079096045197, s=149.0, var_s=13428.333333333334, slope=0.0, intercept=3.0)",no trend,149.0,0.20154021166052782,0.0,3.0,TO REVIEW,Pending statistical analysis
100832,Gross Beta (pCi/L),Gross Beta,3501,pCi/L,2013-2022,60,['900' 'EPA 900.0'],2,96.66666666666667,2021-12-15,3.0,4.7,6.983333333333331,7.1,8.3,15.0,1.14,4.0,"Mann_Kendall_Test(trend='increasing', h=True, p=0.01328024787153792, z=2.4761642190299336, Tau=0.21977401129943502, s=389.0, var_s=24553.0, slope=0.05419580419580419, intercept=5.551223776223777)",increasing,389.0,0.01328024787153792,0.05419580419580419,5.551223776223777,TO REVIEW,Pending statistical analysis
100832,"Hardness (Total, as CaCO3) (mg/L)","Hardness (Total, as CaCO3)",900,mg/L,2013-2022,60,['SM 2340B'],0,100.0,2014-12-17,37.0,130.0,170.16666666666663,180.0,230.0,260.0,3.0,3.0,"Mann_Kendall_Test(trend='decreasing', h=True, p=1.1902297711641197e-05, z=-4.379369856618966, Tau=-0.3870056497175141, s=-685.0, var_s=24394.333333333332, slope=-2.0, intercept=239.0)",decreasing,-685.0,1.1902297711641197e-05,-2.0,239.0,TO REVIEW,Pending statistical analysis
