WRD_ID,Common_Name,CONSTITUENT STANDARDIZED,SAMP_DATE,SAMP_TIME,STORET,METHOD,FLAG,VALUE,TXT_VALUE,DL,MDL,UNITS,LAB_ID,SAMP_ID,REPORT_ID,PROCESSED_DATE
570088,GRIP-AWTF Finished Water to Spreading Ground,Endothall,2021-08-04,09:15:00,38926,EPA 548.1,<,5,ND,5,2.6,ug/L,9590,202108040768,950459,2021-09-08
570088,GRIP-AWTF Finished Water to Spreading Ground,Endothall,2021-09-08,09:30:00,38926,EPA 548.1,<,5,ND,5,"2.6",ug/L,9590,202109080639,956995,2021-10-13
570088,GRIP-AWTF Finished Water to Spreading Ground,Endothall,2021-10-07,09:25:00,38926,EPA 548.1,<,5,ND,5,"2.6",ug/L,9590,202110070979,962638,2021-12-13
570088,GRIP-AWTF Finished Water to Spreading Ground,Endothall,2021-11-03,08:45:00,38926,EPA 548.1,<,5,ND,5,"2.6",ug/L,9590,202111030466,967759,2022-01-20
570088,GRIP-AWTF Finished Water to Spreading Ground,Endothall,2021-12-08,06:30:00,38926,EPA 548.1,<,5,ND,5,"2.6",ug/L,9590,202112081030,973808,2022-02-09
570088,GRIP-AWTF Finished Water to Spreading Ground,Endothall,2022-01-19,07:40:00,38926,EPA 548.1,<,5,ND,5,"2.6",ug/L,9590,202201191519,981651,2022-03-10
570088,GRIP-AWTF Finished Water to Spreading Ground,Endothall,2022-02-09,07:50:00,38926,EPA 548.1,<,5,ND,5,"2.6",ug/L,9590,202202091094,986364,2022-04-04
570088,GRIP-AWTF Finished Water to Spreading Ground,Endothall,2022-03-02,07:45:00,38926,EPA 548.1,<,5,ND,5,"2.6",ug/L,9590,202203020934,990472,2022-04-15
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2019-05-02,11:48:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,201905020494,802853,2019-05-30
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2019-06-26,13:35:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,201905230507,806900,2019-10-30
